label,text
ham,Tell rob to mack his gf in the theater
spam,"Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698"
ham,"Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao."
ham,Yup... From what i remb... I think should be can book...
spam,"Congrats\! 1 year special cinema pass for 2 is yours. call 09061209465 now\! C Suprman V, Matrix3, StarWars3, etc all 4 FREE\! bx420-ip4-5we. 150pm. Dont miss out\!"
ham,"Nah I don't think he goes to usf, he lives around here though"
ham,Same. Wana plan a trip sometme then
ham,All done? All handed in? Celebrations in full swing yet?
ham,Gudnite....tc...practice going on
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T\&C's apply 08452810075over18's
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,Dear good morning now only i am up
ham,I asked you to call him now ok
ham,Tomarrow final hearing on my laptop case so i cant.
spam,"500 New Mobiles from 2004, MUST GO\! Txt: NOKIA to No: 89545 & collect yours today\!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
ham,Check audrey's status right now
spam,"GENT\! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm"
spam,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize\!"
spam,"SIX chances to win CASH\! From 100 to 20,000 pounds txt\> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
ham,"He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week"
ham,Hey... Why dont we just go watch x men and have lunch... Haha
spam,"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p"
ham,Just sleeping..and surfing
spam,"URGENT\! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only"
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,Where are you?when wil you reach here?
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,Thanx...
ham,I accidentally deleted the message. Resend please.
ham,"Sorry, I'll call later"
spam,"4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now\! or2stoptxt"
ham,"Nah can't help you there, I've never had an iphone"
ham,"Just checking in on you. Really do miss seeing Jeremiah. Do have a great month"
ham,Too late. I said i have the website. I didn't i have or dont have the slippers
ham,Hey you told your name to gautham ah?
ham,No problem. How are you doing?
ham,"Need a coffee run tomo?Can't believe it's that time of week already"
ham,"Not really dude, have no friends i'm afraid :("
ham,Where are you lover ? I need you ...
spam,"FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T\&C www.txttowin.co.uk"
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
spam,"PRIVATE\! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires"
ham,Hi da:)how is the todays class?
ham,Fine if thats the way u feel. Thats the way its gota b
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,"\<\#\> ISH MINUTES WAS 5 MINUTES AGO. WTF."
ham,"Come to mu, we're sorting out our narcotics situation"
ham,Ok. I asked for money how far
spam,"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL"
ham,"Yes:)here tv is always available in work place.."
ham,Oops. 4 got that bit.
